DISTRICT NAME,ALLOTED WARDs-SSAs,WARDs-SSAs SURVEY_DONE,HOUSEHOLD COVERAGE-%
Washim,311,311,100.00%
Wayanad,142,142,100.00%
West,44,44,100.00%
West District,43,43,100.00%
West Garo Hills,58,58,100.00%
West Godavari,799,799,100.00%
West Kameng,19,19,100.00%
West Khasi Hills,61,61,100.00%
West Nimar,351,351,100.00%
West Siang,23,23,100.00%
West Tripura,138,138,100.00%
Wokha,30,30,100.00%
Y.S.R.,659,659,100.00%
Yadgir,224,224,100.00%
Yamunanagar,188,188,100.00%
Yanam,5,5,100.00%
Yavatmal,788,788,100.00%
Zunheboto,26,26,100.00%
