Branch Code,Branch Name,IFSC Code,Address,State
Br Code,Br. Name,IFSC Code,Branch Addres,State
0154,Gangtok,YESB0000154,"Yes Bank Ltd, Ground Floor, Hungry Jack Plaza, Nh-31A, Gangtok,Sikkim -737101",Sikkim
0155,Agartala,YESB0000155,"Yes Bank Ltd,Agartala Branch,Paradise Chowmohani,Hospital Road, Opp.-Lici Branch 1,Agartala - 799001",Tripura
0156,Bangalore - Malleswaram,YESB0000156,"Ground & First Floor, Plot No.:93, 7Th Cross, Sampige Road, Malleshwaram Bangalore 560003",Karnataka
0157,Ganaur,YESB0000157,"Pushp Complex, Mc Road, Ganaur 131101",Haryana
0158,Shamshabad,YESB0000158,"Yes Bank Ltd, Ground Floor, H. No:11-3/5/1, Plot No. 222,233,234 & 235, Madhura Nagar, Phase - 1, Shamshabad, Rr Dist, 501218",Telangana
0159,Gohana,YESB0000159,"Ground Floor, Khasra No 1333 (0-16), Samta Chowk, Near Old Bus Stand Gohana -130301",Haryana
0160,Bidhan Nagar,YESB0000160,"Ground Floor, Cimsys Towers, Y-13, Sector – V, Salt Lake City, Kolkata 700 091",West Bengal
0161,Sushant Lok,YESB0000161,"Yes Bank Limited, Ground Floor, Unit No - 004, Unitech Trade Centre, Sushant Lok - 1, Gurgaon - 122 001, Haryana",Haryana
0162,Metro,YESB0000162,"Metro House,,Mahatma Gandhi Road,,Dhobi Talao,Mumbai-400020",Maharashtra
0163,Juhu,YESB0000163,Duru Kripa Nutan Lakshmi Chs Road No 10 Jvpd Scheme Vile Parle West Mumbai 49,Maharashtra
0164,Borivali,YESB0000164,"Shop No 1,2,3,4 And 5,Ground Floor,Abhilasha-1,Punjabi Lane, Borivali(W), 400092",Maharashtra
0165,Janakpuri,YESB0000165,"G9 -12, Plot No. 54B, B Block Community Centre, Mahatta Towers, Janakpuri, New Delhi-110058",Delhi
0166,Chandni Chowk,YESB0000166,"Ground Floor, 1936, Shankar Terrace, Fountain Chowk, Chandni Chowk, Delhi - 110006",Delhi
0167,Jind,YESB0000167,"Yes Bank Ltd Ground Floor, SCO No. 1, Huda District Shopping Centre, Jind- 126102.",Haryana
0168,Karnal,YESB0000168,"Sco 253, Sector 12, Ue, Karnal, 132001",Haryana
0169,Kaithal,YESB0000169,"Ground Floor, Sar Complex, Plot No. 153/2, 156, 158/10,Gobind Nagar, Dhand Road, Kaithal – 136027.",Haryana
0170,Yamuna Nagar,YESB0000170,"Yes Bank Ltd B/194,Shivaji Park, Model Town  Yamunanagar-135001",Haryana
0171,Bhatinda,YESB0000171,"Oracle Building, M.C No. 2683, Guru Kanshi Marg, G.T Road, Bathinda, 151001",Punjab
0172,Dlf Cyber City ( Gurgaon -4),YESB0000172,"Yes Bank Limited, Ground Floor, Building No - 8, Tower - C, Dlf Cyber City, Gurgaon - 122 002, Haryana",Haryana
